[PFAD]
d:\Musik\;True
[DUPLIKATE]
7343832;d:\Musik\Linkin Park\Top\Crawl Back In.mp3;d:\Musik\Toplieder\Crawl Back In.mp3
7292928;d:\Musik\Oomph\Viel Zu Tief.mp3;d:\Musik\Toplieder\Viel Zu Tief.mp3
7278592;d:\Musik\Toplieder\Die Toten Hosen - Unsterblich.mp3;d:\Musik\Toten Hosen\Die Toten Hosen - Unsterblich.mp3
7256064;d:\Musik\Disturbed\Disturbed Top Lieder\Sons of Plunder.mp3;d:\Musik\Ipod Musik\Sons of Plunder.mp3;d:\Musik\Toplieder\Sons of Plunder.mp3
7251921;d:\Musik\Oomph\Zauberstab.mp3;d:\Musik\Toplieder\Zauberstab.mp3
7233189;d:\Musik\Linkin Park\Top\Too Late.mp3;d:\Musik\Toplieder\Too Late.mp3
7223803;d:\Musik\My Chemical Romance\12-my_chemical_romance-destroya.mp3;d:\Musik\Toplieder\12-my_chemical_romance-destroya.mp3
7209372;d:\Musik\Papa Roach\03 Kick In the Teeth.m4a;d:\Musik\Toplieder\03 Kick In the Teeth.m4a
7159923;d:\Musik\Linkin Park\Top\11 Nobody's Listening.mp3;d:\Musik\Toplieder\11 Nobody's Listening.mp3
7142439;d:\Musik\Green Day\American Idiot.mp3;d:\Musik\Toplieder\American Idiot.mp3
7132642;d:\Musik\Ipod Musik\Sabaton - The Final Solution (lyrics) HD.mp3;d:\Musik\Sabaton\Sabaton - The Final Solution (lyrics) HD.mp3
7114752;d:\Musik\Equilibrium\Unter der Eiche.mp3;d:\Musik\Toplieder\Unter der Eiche.mp3
7098163;d:\Musik\Dead by april\Dead by April - As A Butterfly (192kbit_AAC).m4a;d:\Musik\Ipod Musik\Dead by April - As A Butterfly (192kbit_AAC).m4a
7062666;d:\Musik\Rise Against\06 Prayer of the Refugee.m4a;d:\Musik\Toplieder\06 Prayer of the Refugee.m4a
7025129;d:\Musik\Citylauf\10 From The Inside.mp3;d:\Musik\Ipod Musik\10 From The Inside.mp3;d:\Musik\Linkin Park\Top\10 From The Inside.mp3;d:\Musik\Toplieder\10 From The Inside.mp3
7020731;d:\Musik\Citylauf\TheFatRat - Monody (feat. Laura Brehm) (192kbit_AAC).m4a;d:\Musik\Ipod Musik\TheFatRat - Monody (feat. Laura Brehm) (192kbit_AAC).m4a
7012480;d:\Musik\Avenged Sevenfold\Afterlife.mp3;d:\Musik\Toplieder\Afterlife.mp3
6975155;d:\Musik\Citylauf\I-Exist _Pass Out_ OFFICIAL VIDEO I Exist.mp3;d:\Musik\Ipod Musik\I-Exist _Pass Out_ OFFICIAL VIDEO I Exist.mp3
6953839;d:\Musik\Citylauf\the unguided heartseeker lirycs sub español.mp3;d:\Musik\Ipod Musik\the unguided heartseeker lirycs sub español.mp3
6903936;d:\Musik\Hammerfall\Renegade.mp3;d:\Musik\Toplieder\Renegade.mp3
6886875;d:\Musik\Toplieder\Die Toten Hosen - Bonnie und Clyde.mp3;d:\Musik\Toten Hosen\Die Toten Hosen - Bonnie und Clyde.mp3
6869120;d:\Musik\Avenged Sevenfold\Seize the Day.mp3;d:\Musik\Toplieder\Seize the Day.mp3
6823969;d:\Musik\Ipod Musik\Rammstein-Hilf Mir Elfen Lied.mp3;d:\Musik\Rammstein\Rammstein-Hilf Mir Elfen Lied.mp3
6787755;d:\Musik\Ipod Musik\Mein Herz Brennt - Elfen Lied.mp3;d:\Musik\Rammstein\Mein Herz Brennt - Elfen Lied.mp3
6766592;d:\Musik\Equilibrium\Blut Im Auge.mp3;d:\Musik\Ipod Musik\Blut Im Auge.mp3
6740333;d:\Musik\Citylauf\F.O.O.L - The Thief (256 kbit_s).m4a;d:\Musik\Ipod Musik\F.O.O.L - The Thief (256 kbit_s).m4a
6686872;d:\Musik\Green Day\Are we the waiting.mp3;d:\Musik\Toplieder\Are we the waiting.mp3
6636790;d:\Musik\Bullet for My Valentine\11 Forever and Always.mp3;d:\Musik\Toplieder\11 Forever and Always.mp3
6525056;d:\Musik\The Rasmus\The Rasmus - Time to burn.mp3;d:\Musik\Toplieder\The Rasmus - Time to burn.mp3
6438417;d:\Musik\Placebo\02 Infra-Red.m4a;d:\Musik\Toplieder\02 Infra-Red.m4a
6434473;d:\Musik\Linkin Park\Top\My Suffering.mp3;d:\Musik\Toplieder\My Suffering.mp3
6321025;d:\Musik\Placebo\06 Post Blue.m4a;d:\Musik\Toplieder\06 Post Blue.m4a
6297600;d:\Musik\System of a down\BYOB.mp3;d:\Musik\Toplieder\BYOB.mp3
6258926;d:\Musik\Toplieder\Die Toten Hosen - Alles was war.mp3;d:\Musik\Toten Hosen\Die Toten Hosen - Alles was war.mp3
6227905;d:\Musik\Citylauf\Destabilise - Enter Shikari.mp3;d:\Musik\Ipod Musik\Destabilise - Enter Shikari.mp3
6200537;d:\Musik\Citylauf\Don't stay.mp3;d:\Musik\Ipod Musik\Don't stay.mp3;d:\Musik\Toplieder\Don't stay.mp3
6156288;d:\Musik\Oomph\Labyrinth.mp3;d:\Musik\Toplieder\Labyrinth.mp3
6145702;d:\Musik\Linkin Park\Top\Condemned.mp3;d:\Musik\Toplieder\Condemned.mp3
6133888;d:\Musik\Hammerfall\Always Will Be.mp3;d:\Musik\Toplieder\Always Will Be.mp3
6132487;d:\Musik\My Chemical Romance\02-my_chemical_romance-na_na_na_(na_na_na_na_na_na_na_na_na).mp3;d:\Musik\Toplieder\02-my_chemical_romance-na_na_na_(na_na_na_na_na_na_na_na_na).mp3
6109184;d:\Musik\Billy Talent\Rusted from the Rain.mp3;d:\Musik\Toplieder\Rusted from the Rain.mp3
6099807;d:\Musik\Citylauf\Resolve - Haste The Day [Remix - Faster].mp3;d:\Musik\Ipod Musik\Resolve - Haste The Day [Remix - Faster].mp3
6080512;d:\Musik\Billy Talent\Tears into wine.mp3;d:\Musik\Toplieder\Tears into wine.mp3
6061980;d:\Musik\Rise Against\09 Give It All.m4a;d:\Musik\Toplieder\09 Give It All.m4a
6030543;d:\Musik\Ipod Musik\Rammstein Feuer Frei !.mp3;d:\Musik\Rammstein\Rammstein Feuer Frei !.mp3
6002464;d:\Musik\Linkin Park\Top\[Sound Change] Linkin Park A Place For My Head Visual [Youtube Removed Song =( ].mp3;d:\Musik\Toplieder\[Sound Change] Linkin Park A Place For My Head Visual [Youtube Removed Song =( ].mp3
5963734;d:\Musik\Linkin Park\Top\Linkin Park-Place for my Head.mp3;d:\Musik\Toplieder\Linkin Park-Place for my Head.mp3
5958347;d:\Musik\Disturbed\Disturbed Top Lieder\Voices.mp3;d:\Musik\Ipod Musik\Voices.mp3;d:\Musik\Toplieder\Voices.mp3
5950470;d:\Musik\Citylauf\06 Generation.m4a;d:\Musik\Ipod Musik\06 Generation.m4a
5934019;d:\Musik\Citylauf\THE UNGUIDED - Phoenix Down (Zardonic Remix).mp3;d:\Musik\Ipod Musik\THE UNGUIDED - Phoenix Down (Zardonic Remix).mp3
5925032;d:\Musik\Citylauf\Never Let Her Go.mp3;d:\Musik\Ipod Musik\Never Let Her Go.mp3
5894732;d:\Musik\In Flames\Toplieder\02 disconnected.mp3;d:\Musik\Toplieder\02 disconnected.mp3
5887812;d:\Musik\Ipod Musik\Nighttime Rebel.mp3;d:\Musik\Powerwolf\Nighttime Rebel.mp3
5882254;d:\Musik\Citylauf\Red - Darkest Part (Lyric Video).mp3;d:\Musik\Ipod Musik\Red - Darkest Part (Lyric Video).mp3
5877760;d:\Musik\Billy Talent\Surrender.mp3;d:\Musik\Toplieder\Surrender.mp3
5861376;d:\Musik\Billy Talent\Devil On My Shoulder.mp3;d:\Musik\Toplieder\Devil On My Shoulder.mp3
5761242;d:\Musik\Placebo\01 Meds (Featuring Alison Mosshart).m4a;d:\Musik\Toplieder\01 Meds (Featuring Alison Mosshart).m4a
5714048;d:\Musik\The Rasmus\Living in a world without you.mp3;d:\Musik\Toplieder\Living in a world without you.mp3
5710868;d:\Musik\Ipod Musik\Sabaton -  The Price Of A Mile (lyrics) HD (128kbit_AAC).m4a;d:\Musik\Sabaton\Sabaton -  The Price Of A Mile (lyrics) HD (128kbit_AAC).m4a
5705856;d:\Musik\System of a down\Powerman 5000 - Bombshell.mp3;d:\Musik\Toplieder\Powerman 5000 - Bombshell.mp3
5666816;d:\Musik\System of a down\Revenga.mp3;d:\Musik\Toplieder\Revenga.mp3
5665480;d:\Musik\Ipod Musik\Poets of the Fall - The Sweet Escape (Official Video w_ Lyrics) (152kbit_Opus).mp3;d:\Musik\Poets of the fall\Poets of the Fall - The Sweet Escape (Official Video w_ Lyrics) (152kbit_Opus).mp3
5660800;d:\Musik\Ipod Musik\Rammstein - Tier.mp3;d:\Musik\Rammstein\Rammstein - Tier.mp3
5658752;d:\Musik\Hammerfall\Titan.mp3;d:\Musik\Toplieder\Titan.mp3
5648868;d:\Musik\Bullet for My Valentine\Bullet For My Valentine - The Poison - 04 - Tears Don't Fall.mp3;d:\Musik\Toplieder\Bullet For My Valentine - The Poison - 04 - Tears Don't Fall.mp3
5634176;d:\Musik\Alestorm\Terror on the high seas.mp3;d:\Musik\Toplieder\Terror on the high seas.mp3
5621888;d:\Musik\Hammerfall\Any Means Necessary.mp3;d:\Musik\Toplieder\Any Means Necessary.mp3
5602315;d:\Musik\Beast in Black\BEAST IN BLACK - Oceandeep (LYRICS) (128kbit_AAC).m4a;d:\Musik\Ipod Musik\BEAST IN BLACK - Oceandeep (LYRICS) (128kbit_AAC).m4a
5595929;d:\Musik\Ipod Musik\Sabaton - A Lifetime Of War (lyrics) HD (128kbit_AAC).m4a;d:\Musik\Sabaton\Sabaton - A Lifetime Of War (lyrics) HD (128kbit_AAC).m4a
5591040;d:\Musik\Disturbed\Disturbed Top Lieder\Avarice.mp3;d:\Musik\Ipod Musik\Avarice.mp3;d:\Musik\Toplieder\Avarice.mp3
5588992;d:\Musik\The Rasmus\The Rasmus - In the shadows Crow version.mp3;d:\Musik\Toplieder\The Rasmus - In the shadows Crow version.mp3
5585024;d:\Musik\System of a down\Toxicity.mp3;d:\Musik\Toplieder\Toxicity.mp3
5574313;d:\Musik\Linkin Park\Top\Inside Of Me.mp3;d:\Musik\Toplieder\Inside Of Me.mp3
5535872;d:\Musik\Hammerfall\I Want Out.mp3;d:\Musik\Toplieder\I Want Out.mp3
5509874;d:\Musik\Citylauf\Eskimo Callboy - Best Day (without Sido).mp3;d:\Musik\Ipod Musik\Eskimo Callboy - Best Day (without Sido).mp3
5509120;d:\Musik\System of a down\Psycho.mp3;d:\Musik\Toplieder\Psycho.mp3
5470336;d:\Musik\The Rasmus\The Rasmus - Sail Away (alt.end).mp3;d:\Musik\Toplieder\The Rasmus - Sail Away (alt.end).mp3
5466174;d:\Musik\Dead by april\Dead by April - I made it (HD) (192kbit_AAC).m4a;d:\Musik\Ipod Musik\Dead by April - I made it (HD) (192kbit_AAC).m4a
5421488;d:\Musik\Toplieder\Die Toten Hosen - Hier kommt Alex_1.mp3;d:\Musik\Toten Hosen\Die Toten Hosen - Hier kommt Alex_1.mp3
5380096;d:\Musik\Equilibrium\Der Sturm.mp3;d:\Musik\Ipod Musik\Der Sturm.mp3;d:\Musik\Toplieder\Der Sturm.mp3
5375837;d:\Musik\Citylauf\Metal Gear Rising Revengeance music - Rules of Nature with Lyrics.m4a;d:\Musik\Ipod Musik\Metal Gear Rising Revengeance music - Rules of Nature with Lyrics.m4a
5302272;d:\Musik\Billy Talent\Burn The Evidence.mp3;d:\Musik\Toplieder\Burn The Evidence.mp3
5259264;d:\Musik\System of a down\Tentative .mp3;d:\Musik\Toplieder\Tentative .mp3
5253517;d:\Musik\Halestorm\Halestorm - I Am The Fire (Official Video) (192kbit_AAC).m4a;d:\Musik\Ipod Musik\Halestorm - I Am The Fire (Official Video) (192kbit_AAC).m4a
5226496;d:\Musik\System of a down\Sad statue.mp3;d:\Musik\Toplieder\Sad statue.mp3
5196763;d:\Musik\Deuce\Deuce - Nobody Likes Me (128kbit_AAC).m4a;d:\Musik\Ipod Musik\Deuce - Nobody Likes Me (128kbit_AAC).m4a
5185664;d:\Musik\Hammerfall\heeding the call.mp3;d:\Musik\Toplieder\heeding the call.mp3
5183488;d:\Musik\System of a down\Soldier Side.mp3;d:\Musik\Toplieder\Soldier Side.mp3
5138560;d:\Musik\The Rasmus\The Rasmus - City Of Dead.mp3;d:\Musik\Toplieder\The Rasmus - City Of Dead.mp3
5118080;d:\Musik\The Rasmus\The Rasmus - Still Standing.mp3;d:\Musik\Toplieder\The Rasmus - Still Standing.mp3
5090425;d:\Musik\Citylauf\Pendulum - The Island  Part 1 (Dawn) (Full HD) (128 kbit_s).m4a;d:\Musik\Ipod Musik\Pendulum - The Island  Part 1 (Dawn) (Full HD) (128 kbit_s).m4a
5084173;d:\Musik\Ipod Musik\POWERWOLF - Fire & Forgive (Official Video) _ Napalm Records (128kbit_AAC).m4a;d:\Musik\Powerwolf\POWERWOLF - Fire & Forgive (Official Video) _ Napalm Records (128kbit_AAC).m4a
5080614;d:\Musik\Ipod Musik\Sabaton - Bismarck (Music Video) (128kbit_AAC).m4a;d:\Musik\Sabaton\Sabaton - Bismarck (Music Video) (128kbit_AAC).m4a
5033984;d:\Musik\Oomph\Wach Auf.mp3;d:\Musik\Toplieder\Wach Auf.mp3
5027229;d:\Musik\Papa Roach\12 State of Emergency.mp3;d:\Musik\Toplieder\12 State of Emergency.mp3
4981946;d:\Musik\Ipod Musik\ONE OK ROCK - The Beginning [Official Music Video] (128kbit_AAC).m4a;d:\Musik\One ok rock\ONE OK ROCK - The Beginning [Official Music Video] (128kbit_AAC).m4a
4980736;d:\Musik\System of a down\Chop Suey.mp3;d:\Musik\Toplieder\Chop Suey.mp3
4927084;d:\Musik\Ipod Musik\Poets of the Fall - Choice Millionaire (Official 4K Video w_ Lyrics) (128kbit_AAC).m4a;d:\Musik\Poets of the fall\Poets of the Fall - Choice Millionaire (Official 4K Video w_ Lyrics) (128kbit_AAC).m4a
4837504;d:\Musik\Ipod Musik\Poets of the Fall - Daze (Official Video w_ Lyrics) (128kbit_AAC).m4a;d:\Musik\Poets of the fall\Poets of the Fall - Daze (Official Video w_ Lyrics) (128kbit_AAC).m4a
4817431;d:\Musik\Papa Roach\09 My Heart Is A Fist.mp3;d:\Musik\Toplieder\09 My Heart Is A Fist.mp3
